Issue Type,Issue key,Issue id,Summary,Custom field (Variant),Assignee,Due Date,Labels,Labels,Labels,Status,Reporter
Task,DEIPCNBS20-1121,1470642,[MI200]TODO item clean up,MI200,alzhu,13/Dec/19 12:00 AM,,,,Opened,benpeng
Task,DEIPCNBS20-1120,1470639,[MI200]TODO item clean up,MI200,alxie,13/Dec/19 12:00 AM,,,,Opened,benpeng
Task,DEIPCNBS20-1118,1470308,[MI200]Other feature groups clean up,MI200,benpeng,06/Dec/19 12:00 AM,,,,Opened,benpeng
Task,DEIPCNBS20-1116,1470261,[MI200]LSC checklist review,MI200,benpeng,06/Dec/19 12:00 AM,,,,Opened,benpeng
Task,DEIPCNBS20-1115,1470247,[MI200]confirm if PRS / MAS review has MISC tasks,MI200,belchen,06/Dec/19 12:00 AM,,,,Closed,benpeng
Task,DEIPCNBS20-1114,1470231,[MI200]confirm if PRS / MAS review has DMA tasks,MI200,wangr1,06/Dec/19 12:00 AM,,,,Closed,benpeng
Defect,DEIPCNBS20-1113,1470177,[Mi200] vc_1_dataerror_whole_chain error,MI200,dongyu,,,,,Rejected,wangr1
Task,DEIPCNBS20-1112,1469723,[MI200] DV key words search,MI200,geochen,10/Dec/19 12:00 AM,,,,Opened,benpeng
Defect,DEIPCNBS20-1110,1469379,[MI200][HOST]Performance bubble not expected,MI200,woliver,,,,,Implemented,benpeng
Task,DEIPCNBS20-1107,1468006,IOHUB interface MI200,MI200,xiaojwan,,,,,Opened,benpeng
Task,DEIPCNBS20-1106,1468004,MI200 section 3.6 IOHUB interface,MI200,trgong,06/Dec/19 12:00 AM,,,,Opened,benpeng
Task,DEIPCNBS20-1105,1468003,[MI200]Section 3.6 of MAS need to update,MI200,buhengxu,06/Dec/19 12:00 AM,,,,Implemented,benpeng
Task,DEIPCNBS20-1104,1468002,[MI200]section 3.5 host clients table to be update,MI200,trgong,,,,,Closed,benpeng
Task,DEIPCNBS20-1103,1467999,[MI200]THT back presure,MI200,pfli,17/Dec/19 12:00 AM,,,,Opened,benpeng
Task,DEIPCNBS20-1102,1467998,[MI200]Section 3.13  performance,MI200,tingxie2,06/Dec/19 12:00 AM,,,,Opened,benpeng
Task,DEIPCNBS20-1101,1467996,[MI200]update MAS by clean the TODO items with newest conclusion,MI200,buhengxu,13/Dec/19 12:00 AM,,,,Implemented,benpeng
Task,DEIPCNBS20-1100,1467995,HOST MAS review for MI200,MI200,pfli,06/Dec/19 12:00 AM,,,,Closed,benpeng
Defect,DEIPCNBS20-1098,1465987,keep GFX pcie DEVICE_ID as no_reg,MI200,petwang,,,,,Closed,siluo
